,WageType,1 ADULT - 0,1 ADULT - 1,1 ADULT - 2,1 ADULT - 3,2 ADULTS(1 WORKING) - 0,2 ADULTS(1 WORKING) - 1,2 ADULTS(1 WORKING) - 2,2 ADULTS(1 WORKING) - 3,2 ADULTS(BOTH WORKING) - 0,2 ADULTS(BOTH WORKING) - 1,2 ADULTS(BOTH WORKING) - 2,2 ADULTS(BOTH WORKING) - 3,State,County
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Colfax
0,Living Wage,$15.96 ,$31.83 ,$39.41 ,$51.83 ,$25.43 ,$31.22 ,$36.86 ,$40.39 ,$12.71 ,$17.70 ,$22.61 ,$26.46 ,New Mexico,Curry
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Curry
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Curry
0,Living Wage,$16.28 ,$31.13 ,$38.71 ,$51.00 ,$25.13 ,$30.52 ,$36.16 ,$39.56 ,$12.56 ,$17.35 ,$22.26 ,$26.05 ,New Mexico,De Baca
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,De Baca
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,De Baca
0,Living Wage,$17.73 ,$32.60 ,$40.18 ,$53.55 ,$26.53 ,$31.99 ,$37.63 ,$42.11 ,$13.27 ,$18.08 ,$22.99 ,$27.32 ,New Mexico,Eddy
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Eddy
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Eddy
0,Living Wage,$16.10 ,$30.91 ,$38.49 ,$50.50 ,$25.16 ,$30.30 ,$35.94 ,$39.06 ,$12.58 ,$17.24 ,$22.15 ,$25.80 ,New Mexico,Grant
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Grant
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Grant
0,Living Wage,$15.67 ,$30.35 ,$37.94 ,$50.34 ,$24.84 ,$29.74 ,$35.39 ,$38.90 ,$12.42 ,$16.96 ,$21.87 ,$25.71 ,New Mexico,Guadalupe
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Guadalupe
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Guadalupe
0,Living Wage,$15.67 ,$30.35 ,$37.94 ,$50.34 ,$24.50 ,$29.74 ,$35.39 ,$38.90 ,$12.25 ,$16.96 ,$21.87 ,$25.71 ,New Mexico,Harding
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Harding
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Harding
0,Living Wage,$15.67 ,$30.35 ,$37.94 ,$49.28 ,$24.45 ,$29.74 ,$35.39 ,$37.85 ,$12.22 ,$16.96 ,$21.87 ,$25.19 ,New Mexico,Hidalgo
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Hidalgo
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Hidalgo
0,Living Wage,$17.02 ,$32.60 ,$40.18 ,$52.47 ,$26.01 ,$31.99 ,$37.63 ,$41.03 ,$13.01 ,$18.08 ,$22.99 ,$26.78 ,New Mexico,Lea
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Lea
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Lea
0,Living Wage,$16.47 ,$31.36 ,$38.94 ,$50.75 ,$25.37 ,$30.75 ,$36.40 ,$39.31 ,$12.69 ,$17.46 ,$22.37 ,$25.92 ,New Mexico,Lincoln
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Lincoln
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Lincoln
0,Living Wage,$17.87 ,$33.72 ,$41.22 ,$54.19 ,$27.28 ,$33.19 ,$38.83 ,$43.00 ,$13.64 ,$18.64 ,$23.51 ,$27.64 ,New Mexico,Los Alamos
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Los Alamos
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Los Alamos
0,Living Wage,$14.98 ,$30.35 ,$37.94 ,$50.20 ,$24.30 ,$29.74 ,$35.39 ,$38.76 ,$12.15 ,$16.96 ,$21.87 ,$25.65 ,New Mexico,Luna
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Luna
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Luna
0,Living Wage,$16.15 ,$30.42 ,$38.00 ,$49.69 ,$24.98 ,$29.81 ,$35.45 ,$38.25 ,$12.49 ,$16.99 ,$21.90 ,$25.39 ,New Mexico,McKinley
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,McKinley
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,McKinley
0,Living Wage,$16.28 ,$31.13 ,$38.71 ,$51.00 ,$25.13 ,$30.52 ,$36.16 ,$39.56 ,$12.56 ,$17.35 ,$22.26 ,$26.05 ,New Mexico,Mora
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Mora
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Mora
0,Living Wage,$15.88 ,$30.53 ,$38.11 ,$50.59 ,$25.13 ,$29.92 ,$35.56 ,$39.15 ,$12.56 ,$17.05 ,$21.96 ,$25.84 ,New Mexico,Otero
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Otero
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Otero
0,Living Wage,$15.67 ,$30.35 ,$37.94 ,$49.80 ,$24.53 ,$29.74 ,$35.39 ,$38.37 ,$12.26 ,$16.96 ,$21.87 ,$25.45 ,New Mexico,Quay
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Quay
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Quay
0,Living Wage,$16.36 ,$30.65 ,$38.24 ,$49.65 ,$25.23 ,$30.04 ,$35.69 ,$38.21 ,$12.62 ,$17.11 ,$22.02 ,$25.37 ,New Mexico,Rio Arriba
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Rio Arriba
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Rio Arriba
0,Living Wage,$16.24 ,$31.32 ,$38.91 ,$51.21 ,$25.04 ,$30.71 ,$36.36 ,$39.78 ,$12.52 ,$17.45 ,$22.35 ,$26.15 ,New Mexico,Roosevelt
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Roosevelt
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Roosevelt
0,Living Wage,$16.54 ,$30.80 ,$38.30 ,$50.13 ,$25.36 ,$30.27 ,$35.91 ,$38.94 ,$12.68 ,$17.18 ,$22.05 ,$25.61 ,New Mexico,San Juan
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,San Juan
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,San Juan
0,Living Wage,$16.43 ,$30.86 ,$38.44 ,$50.37 ,$25.23 ,$30.25 ,$35.90 ,$38.93 ,$12.61 ,$17.21 ,$22.12 ,$25.73 ,New Mexico,San Miguel
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,San Miguel
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,San Miguel
0,Living Wage,$16.03 ,$31.86 ,$39.36 ,$52.36 ,$25.94 ,$31.33 ,$36.97 ,$41.17 ,$12.97 ,$17.71 ,$22.58 ,$26.73 ,New Mexico,Sandoval
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Sandoval
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Sandoval
0,Living Wage,$17.44 ,$32.87 ,$40.37 ,$52.50 ,$27.25 ,$32.34 ,$37.98 ,$41.31 ,$13.62 ,$18.22 ,$23.09 ,$26.80 ,New Mexico,Santa Fe
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Santa Fe
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Santa Fe
0,Living Wage,$15.07 ,$30.49 ,$38.07 ,$50.07 ,$24.41 ,$29.88 ,$35.53 ,$38.64 ,$12.21 ,$17.03 ,$21.94 ,$25.58 ,New Mexico,Sierra
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Sierra
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Sierra
0,Living Wage,$15.81 ,$30.53 ,$38.11 ,$50.59 ,$24.60 ,$29.92 ,$35.56 ,$39.15 ,$12.30 ,$17.05 ,$21.96 ,$25.84 ,New Mexico,Socorro
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Socorro
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Socorro
0,Living Wage,$17.07 ,$31.79 ,$39.37 ,$51.06 ,$25.86 ,$31.18 ,$36.82 ,$39.62 ,$12.93 ,$17.68 ,$22.59 ,$26.08 ,New Mexico,Taos
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Taos
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Taos
0,Living Wage,$16.03 ,$31.94 ,$39.52 ,$52.60 ,$25.94 ,$31.33 ,$36.97 ,$41.17 ,$12.97 ,$17.75 ,$22.66 ,$26.85 ,New Mexico,Torrance
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Torrance
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Torrance
0,Living Wage,$15.51 ,$30.35 ,$37.94 ,$50.34 ,$24.30 ,$29.74 ,$35.39 ,$38.90 ,$12.15 ,$16.96 ,$21.87 ,$25.71 ,New Mexico,Union
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Union
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Union
0,Living Wage,$16.03 ,$31.86 ,$39.36 ,$52.36 ,$25.94 ,$31.33 ,$36.97 ,$41.17 ,$12.97 ,$17.71 ,$22.58 ,$26.73 ,New Mexico,Valencia
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New Mexico,Valencia
2,Minimum Wage,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$11.50 ,New Mexico,Valencia
0,Living Wage,$18.00 ,$36.36 ,$47.03 ,$62.47 ,$27.16 ,$32.63 ,$38.56 ,$41.60 ,$13.58 ,$19.99 ,$26.57 ,$31.61 ,New York,Albany
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Albany
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Albany
0,Living Wage,$15.98 ,$31.44 ,$40.13 ,$53.19 ,$24.66 ,$29.65 ,$35.58 ,$38.00 ,$12.33 ,$17.44 ,$23.12 ,$26.97 ,New York,Allegany
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Allegany
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Allegany
0,Living Wage,$25.42 ,$43.18 ,$53.00 ,$69.90 ,$34.09 ,$40.11 ,$46.06 ,$51.07 ,$17.04 ,$23.32 ,$29.56 ,$35.32 ,New York,Bronx
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Bronx
2,Minimum Wage,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$15.00 ,New York,Bronx
0,Living Wage,$16.62 ,$32.31 ,$41.01 ,$54.49 ,$25.15 ,$30.52 ,$36.45 ,$39.47 ,$12.57 ,$17.88 ,$23.56 ,$27.62 ,New York,Broome
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Broome
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Broome
0,Living Wage,$16.40 ,$31.44 ,$40.13 ,$53.69 ,$24.78 ,$29.65 ,$35.58 ,$38.50 ,$12.39 ,$17.44 ,$23.12 ,$27.22 ,New York,Cattaraugus
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Cattaraugus
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Cattaraugus
0,Living Wage,$16.67 ,$32.32 ,$41.02 ,$54.17 ,$25.39 ,$30.53 ,$36.46 ,$39.15 ,$12.69 ,$17.88 ,$23.57 ,$27.46 ,New York,Cayuga
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Cayuga
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Cayuga
0,Living Wage,$16.04 ,$31.54 ,$40.24 ,$53.38 ,$24.81 ,$29.75 ,$35.68 ,$38.19 ,$12.41 ,$17.49 ,$23.17 ,$27.06 ,New York,Chautauqua
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Chautauqua
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Chautauqua
0,Living Wage,$17.38 ,$32.92 ,$41.62 ,$55.29 ,$25.76 ,$31.13 ,$37.06 ,$40.28 ,$12.88 ,$18.18 ,$23.87 ,$28.02 ,New York,Chemung
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Chemung
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Chemung
0,Living Wage,$15.93 ,$31.88 ,$40.58 ,$53.63 ,$25.08 ,$30.09 ,$36.02 ,$38.44 ,$12.54 ,$17.66 ,$23.35 ,$27.19 ,New York,Chenango
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Chenango
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Chenango
0,Living Wage,$17.09 ,$32.61 ,$41.31 ,$54.75 ,$25.48 ,$30.82 ,$36.74 ,$39.73 ,$12.74 ,$18.02 ,$23.71 ,$27.75 ,New York,Clinton
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Clinton
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Clinton
0,Living Wage,$17.63 ,$34.74 ,$44.47 ,$59.44 ,$26.71 ,$31.94 ,$37.87 ,$41.38 ,$13.36 ,$19.09 ,$25.29 ,$30.10 ,New York,Columbia
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Columbia
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Columbia
0,Living Wage,$16.98 ,$32.50 ,$41.20 ,$54.22 ,$25.76 ,$30.71 ,$36.64 ,$39.21 ,$12.88 ,$17.97 ,$23.66 ,$27.49 ,New York,Cortland
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Cortland
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Cortland
0,Living Wage,$16.73 ,$31.67 ,$40.37 ,$53.82 ,$25.12 ,$29.88 ,$35.81 ,$38.63 ,$12.56 ,$17.56 ,$23.24 ,$27.29 ,New York,Delaware
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Delaware
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Delaware
0,Living Wage,$20.18 ,$39.27 ,$49.77 ,$66.22 ,$29.09 ,$35.36 ,$41.48 ,$45.35 ,$14.55 ,$21.36 ,$27.94 ,$33.48 ,New York,Dutchess
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Dutchess
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Dutchess
0,Living Wage,$17.49 ,$33.90 ,$43.62 ,$57.75 ,$26.07 ,$31.10 ,$37.03 ,$39.69 ,$13.03 ,$18.67 ,$24.87 ,$29.25 ,New York,Erie
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Erie
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Erie
0,Living Wage,$17.00 ,$32.37 ,$41.07 ,$54.80 ,$25.65 ,$30.58 ,$36.50 ,$39.79 ,$12.83 ,$17.90 ,$23.59 ,$27.78 ,New York,Essex
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Essex
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Essex
0,Living Wage,$15.84 ,$31.76 ,$40.45 ,$53.89 ,$25.35 ,$29.97 ,$35.89 ,$38.70 ,$12.67 ,$17.60 ,$23.28 ,$27.32 ,New York,Franklin
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,New York,Franklin
2,Minimum Wage,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,$13.20 ,New York,Franklin
