,WageType,1 ADULT - 0,1 ADULT - 1,1 ADULT - 2,1 ADULT - 3,2 ADULTS(1 WORKING) - 0,2 ADULTS(1 WORKING) - 1,2 ADULTS(1 WORKING) - 2,2 ADULTS(1 WORKING) - 3,2 ADULTS(BOTH WORKING) - 0,2 ADULTS(BOTH WORKING) - 1,2 ADULTS(BOTH WORKING) - 2,2 ADULTS(BOTH WORKING) - 3,State,County,2022 Population Est
3754,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Kalamazoo,261173
3755,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Kalamazoo,261173
3756,Living Wage,$15.00 ,$29.55 ,$37.14 ,$49.07 ,$23.79 ,$28.69 ,$34.34 ,$37.00 ,$11.90 ,$16.49 ,$21.46 ,$24.94 ,Michigan,Kalkaska,18182
3757,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Kalkaska,18182
3758,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Kalkaska,18182
3759,Living Wage,$16.91 ,$35.00 ,$46.11 ,$62.11 ,$25.74 ,$30.62 ,$36.27 ,$39.47 ,$12.87 ,$19.22 ,$25.95 ,$31.46 ,Michigan,Kent,659083
3760,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Kent,659083
3761,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Kent,659083
3762,Living Wage,$15.11 ,$31.30 ,$40.70 ,$54.88 ,$23.82 ,$28.64 ,$34.28 ,$37.39 ,$11.91 ,$17.37 ,$23.24 ,$27.84 ,Michigan,Keweenaw,2180
3763,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Keweenaw,2180
3764,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Keweenaw,2180
3765,Living Wage,$15.11 ,$29.45 ,$36.99 ,$48.37 ,$23.76 ,$28.64 ,$34.28 ,$36.45 ,$11.88 ,$16.44 ,$21.39 ,$24.59 ,Michigan,Lake,12594
3766,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Lake,12594
3767,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Lake,12594
3768,Living Wage,$16.59 ,$35.52 ,$46.72 ,$62.66 ,$25.77 ,$31.04 ,$36.69 ,$39.74 ,$12.89 ,$19.48 ,$26.25 ,$31.73 ,Michigan,Lapeer,88780
3769,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Lapeer,88780
3770,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Lapeer,88780
3771,Living Wage,$16.38 ,$32.95 ,$42.94 ,$57.78 ,$24.92 ,$29.70 ,$35.35 ,$38.53 ,$12.46 ,$18.19 ,$24.36 ,$29.30 ,Michigan,Leelanau,22870
3772,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Leelanau,22870
3773,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Leelanau,22870
3774,Living Wage,$15.31 ,$32.73 ,$43.02 ,$57.77 ,$24.16 ,$29.17 ,$34.82 ,$37.61 ,$12.08 ,$18.08 ,$24.40 ,$29.29 ,Michigan,Lenawee,98567
3775,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Lenawee,98567
3776,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Lenawee,98567
3777,Living Wage,$17.05 ,$36.88 ,$49.22 ,$66.88 ,$26.23 ,$31.28 ,$36.93 ,$40.57 ,$13.11 ,$20.16 ,$27.50 ,$33.85 ,Michigan,Livingston,196161
3778,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Livingston,196161
3779,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Livingston,196161
3780,Living Wage,$15.11 ,$30.58 ,$39.26 ,$52.41 ,$24.23 ,$28.64 ,$34.28 ,$37.09 ,$12.11 ,$17.01 ,$22.52 ,$26.61 ,Michigan,Luce,5330
3781,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Luce,5330
3782,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Luce,5330
3783,Living Wage,$15.11 ,$30.19 ,$38.48 ,$50.91 ,$24.42 ,$28.64 ,$34.28 ,$36.76 ,$12.21 ,$16.81 ,$22.13 ,$25.86 ,Michigan,Mackinac,10941
3784,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Mackinac,10941
3785,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Mackinac,10941
3786,Living Wage,$16.59 ,$36.78 ,$49.25 ,$66.45 ,$25.77 ,$31.04 ,$36.69 ,$39.74 ,$12.89 ,$20.11 ,$27.52 ,$33.63 ,Michigan,Macomb,874195
3787,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Macomb,874195
3788,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Macomb,874195
3789,Living Wage,$15.41 ,$29.47 ,$36.59 ,$48.01 ,$24.08 ,$29.07 ,$34.72 ,$37.34 ,$12.04 ,$16.45 ,$21.19 ,$24.41 ,Michigan,Manistee,25287
3790,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Manistee,25287
3791,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Manistee,25287
3792,Living Wage,$15.41 ,$34.76 ,$46.94 ,$63.12 ,$24.27 ,$29.31 ,$34.96 ,$37.28 ,$12.13 ,$19.10 ,$26.36 ,$31.97 ,Michigan,Marquette,66661
3793,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Marquette,66661
3794,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Marquette,66661
3795,Living Wage,$15.72 ,$32.61 ,$42.79 ,$56.98 ,$24.16 ,$29.16 ,$34.81 ,$37.15 ,$12.08 ,$18.02 ,$24.29 ,$28.90 ,Michigan,Mason,29409
3796,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Mason,29409
3797,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Mason,29409
3798,Living Wage,$15.95 ,$31.26 ,$40.61 ,$53.95 ,$24.21 ,$28.64 ,$34.28 ,$36.60 ,$12.11 ,$17.35 ,$23.20 ,$27.38 ,Michigan,Mecosta,40720
3799,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Mecosta,40720
3800,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Mecosta,40720
3801,Living Wage,$15.48 ,$30.65 ,$39.40 ,$52.78 ,$24.34 ,$28.64 ,$34.28 ,$37.25 ,$12.17 ,$17.04 ,$22.59 ,$26.80 ,Michigan,Menominee,23266
3802,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Menominee,23266
3803,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Menominee,23266
3804,Living Wage,$15.43 ,$32.88 ,$43.15 ,$58.51 ,$24.29 ,$29.34 ,$34.99 ,$38.40 ,$12.14 ,$18.16 ,$24.47 ,$29.66 ,Michigan,Midland,83674
3805,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Midland,83674
3806,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Midland,83674
3807,Living Wage,$15.61 ,$33.49 ,$44.35 ,$59.22 ,$24.31 ,$29.37 ,$35.02 ,$37.36 ,$12.16 ,$18.46 ,$25.07 ,$30.02 ,Michigan,Missaukee,15213
3808,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Missaukee,15213
3809,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Missaukee,15213
3810,Living Wage,$16.05 ,$33.87 ,$44.57 ,$60.20 ,$24.78 ,$29.90 ,$35.54 ,$38.79 ,$12.39 ,$18.65 ,$25.18 ,$30.51 ,Michigan,Monroe,155609
3811,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Monroe,155609
3812,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Monroe,155609
3813,Living Wage,$16.11 ,$31.73 ,$41.13 ,$54.68 ,$24.41 ,$29.07 ,$34.71 ,$37.18 ,$12.21 ,$17.58 ,$23.46 ,$27.74 ,Michigan,Montcalm,67433
3814,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Montcalm,67433
3815,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Montcalm,67433
3816,Living Wage,$15.11 ,$30.39 ,$38.87 ,$52.13 ,$23.98 ,$28.64 ,$34.28 ,$37.39 ,$11.99 ,$16.91 ,$22.33 ,$26.47 ,Michigan,Montmorency,9569
3817,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Montmorency,9569
3818,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Montmorency,9569
3819,Living Wage,$15.80 ,$32.44 ,$42.27 ,$56.44 ,$24.28 ,$29.33 ,$34.98 ,$37.64 ,$12.14 ,$17.94 ,$24.03 ,$28.63 ,Michigan,Muskegon,176565
3820,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Muskegon,176565
3821,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Muskegon,176565
3822,Living Wage,$15.30 ,$31.93 ,$41.45 ,$55.10 ,$24.14 ,$29.14 ,$34.79 ,$37.24 ,$12.07 ,$17.68 ,$23.62 ,$27.96 ,Michigan,Newaygo,50886
3823,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Newaygo,50886
3824,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Newaygo,50886
3825,Living Wage,$16.59 ,$38.11 ,$51.91 ,$70.43 ,$25.77 ,$31.04 ,$36.69 ,$39.74 ,$12.89 ,$20.77 ,$28.85 ,$35.62 ,Michigan,Oakland,1269431
3826,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Oakland,1269431
3827,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Oakland,1269431
3828,Living Wage,$15.11 ,$30.56 ,$39.22 ,$52.41 ,$23.76 ,$28.64 ,$34.28 ,$37.15 ,$11.88 ,$17.00 ,$22.50 ,$26.61 ,Michigan,Oceana,26973
3829,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Oceana,26973
3830,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Oceana,26973
3831,Living Wage,$15.53 ,$30.10 ,$38.29 ,$50.58 ,$24.42 ,$28.64 ,$34.28 ,$36.72 ,$12.21 ,$16.77 ,$22.03 ,$25.70 ,Michigan,Ogemaw,20970
3832,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Ogemaw,20970
3833,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Ogemaw,20970
3834,Living Wage,$15.11 ,$29.97 ,$38.04 ,$49.94 ,$24.19 ,$28.64 ,$34.28 ,$36.45 ,$12.10 ,$16.70 ,$21.91 ,$25.38 ,Michigan,Ontonagon,5863
3835,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Ontonagon,5863
3836,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Ontonagon,5863
3837,Living Wage,$15.11 ,$31.28 ,$40.65 ,$53.86 ,$23.85 ,$28.64 ,$34.28 ,$36.45 ,$11.92 ,$17.36 ,$23.22 ,$27.34 ,Michigan,Osceola,23274
3838,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Osceola,23274
3839,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Osceola,23274
3840,Living Wage,$15.11 ,$30.14 ,$38.37 ,$51.33 ,$24.24 ,$28.64 ,$34.28 ,$37.34 ,$12.12 ,$16.79 ,$22.08 ,$26.07 ,Michigan,Oscoda,8404
3841,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Oscoda,8404
3842,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Oscoda,8404
3843,Living Wage,$15.80 ,$33.47 ,$44.03 ,$59.03 ,$24.51 ,$29.64 ,$35.28 ,$38.05 ,$12.26 ,$18.45 ,$24.91 ,$29.92 ,Michigan,Otsego,25644
3844,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Otsego,25644
3845,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Otsego,25644
3846,Living Wage,$17.40 ,$34.16 ,$44.86 ,$60.85 ,$25.78 ,$30.19 ,$35.83 ,$39.44 ,$12.89 ,$18.80 ,$25.32 ,$30.83 ,Michigan,Ottawa,300873
3847,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Ottawa,300873
3848,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Ottawa,300873
3849,Living Wage,$15.11 ,$30.38 ,$38.86 ,$51.94 ,$23.92 ,$28.64 ,$34.28 ,$37.21 ,$11.96 ,$16.91 ,$22.32 ,$26.37 ,Michigan,Presque Isle,13361
3850,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Presque Isle,13361
3851,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Presque Isle,13361
3852,Living Wage,$15.69 ,$30.24 ,$38.58 ,$51.36 ,$23.95 ,$28.64 ,$34.28 ,$37.05 ,$11.97 ,$16.84 ,$22.18 ,$26.08 ,Michigan,Roscommon,23708
3853,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Roscommon,23708
3854,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Roscommon,23708
3855,Living Wage,$15.44 ,$33.25 ,$43.89 ,$58.55 ,$24.33 ,$29.35 ,$34.99 ,$37.34 ,$12.16 ,$18.34 ,$24.84 ,$29.68 ,Michigan,Saginaw,188330
3856,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Saginaw,188330
3857,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Saginaw,188330
3858,Living Wage,$15.49 ,$31.73 ,$41.56 ,$55.44 ,$23.76 ,$28.64 ,$34.28 ,$36.67 ,$11.88 ,$17.58 ,$23.67 ,$28.13 ,Michigan,Sanilac,40657
3859,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Sanilac,40657
3860,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Sanilac,40657
3861,Living Wage,$15.11 ,$31.23 ,$40.55 ,$53.71 ,$23.76 ,$28.64 ,$34.28 ,$36.45 ,$11.88 ,$17.33 ,$23.17 ,$27.26 ,Michigan,Schoolcraft,8188
3862,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Schoolcraft,8188
3863,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Schoolcraft,8188
3864,Living Wage,$15.65 ,$34.10 ,$46.08 ,$62.54 ,$23.92 ,$28.85 ,$34.50 ,$37.31 ,$11.96 ,$18.77 ,$25.93 ,$31.68 ,Michigan,Shiawassee,68022
3865,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Shiawassee,68022
3866,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Shiawassee,68022
3867,Living Wage,$16.59 ,$34.64 ,$44.97 ,$60.02 ,$25.77 ,$31.04 ,$36.69 ,$39.74 ,$12.89 ,$19.04 ,$25.37 ,$30.42 ,Michigan,St. Clair,160151
3868,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,St. Clair,160151
3869,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,St. Clair,160151
3870,Living Wage,$15.21 ,$30.75 ,$39.44 ,$52.27 ,$23.95 ,$28.78 ,$34.43 ,$36.89 ,$11.98 ,$17.09 ,$22.61 ,$26.54 ,Michigan,St. Joseph,60874
3871,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,St. Joseph,60874
3872,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,St. Joseph,60874
3873,Living Wage,$14.96 ,$31.01 ,$40.12 ,$53.74 ,$24.08 ,$28.64 ,$34.28 ,$37.12 ,$12.04 ,$17.22 ,$22.95 ,$27.28 ,Michigan,Tuscola,52945
3874,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Tuscola,52945
3875,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Tuscola,52945
3876,Living Wage,$15.98 ,$33.01 ,$42.99 ,$57.64 ,$24.89 ,$29.76 ,$35.41 ,$38.41 ,$12.44 ,$18.22 ,$24.39 ,$29.23 ,Michigan,Van Buren,75692
3877,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Van Buren,75692
3878,Minimum Wage,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,$9.87 ,Michigan,Van Buren,75692
3879,Living Wage,$19.12 ,$41.31 ,$56.66 ,$77.00 ,$27.46 ,$32.68 ,$38.33 ,$41.64 ,$13.73 ,$22.37 ,$31.22 ,$38.91 ,Michigan,Washtenaw,366376
3880,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Michigan,Washtenaw,366376
